semana,casos
2020-02-10,13
2020-02-17,50
2020-02-24,109
2020-03-02,292
2020-03-09,1428
2020-03-16,3871
2020-03-23,5626
2020-03-30,7482
2020-04-06,10662
2020-04-13,14945
2020-04-20,19162
2020-04-27,22461
2020-05-04,23697
2020-05-11,22354
2020-05-18,21110
2020-05-25,19591
2020-06-01,22707
2020-06-08,22270
2020-06-15,23523
2020-06-22,21486
2020-06-29,24588
2020-07-06,23487
2020-07-13,21456
2020-07-20,20467
2020-07-27,19195
2020-08-03,17296
2020-08-10,17799
2020-08-17,16240
2020-08-24,14646
2020-08-31,14704
2020-09-07,13322
2020-09-14,12553
2020-09-21,10911
2020-09-28,11221
2020-10-05,10638
2020-10-12,10046
2020-10-19,10304
2020-10-26,11203
2020-11-02,13279
2020-11-09,17071
2020-11-16,19414
2020-11-23,20017
2020-11-30,23390
2020-12-07,21402
2020-12-14,20814
2020-12-21,21355
2020-12-28,26285
2021-01-04,27248
2021-01-11,23017
2021-01-18,22656
2021-01-25,21179
2021-02-01,26917
2021-02-08,31147
2021-02-15,40501
2021-02-22,47154
2021-03-01,63185
2021-03-08,64948
2021-03-15,63006
2021-03-22,50960
2021-03-29,48048
2021-04-05,44090
2021-04-12,38790
2021-04-19,38978
2021-04-26,40675
2021-05-03,41568
2021-05-10,47418
2021-05-17,46360
2021-05-24,44725
2021-05-31,43822
2021-06-07,36030
2021-06-14,31748
2021-06-21,24126
2021-06-28,23449
2021-07-05,20431
2021-07-12,16984
2021-07-19,15623
2021-07-26,14197
2021-08-02,13118
2021-08-09,11820
2021-08-16,10523
2021-08-23,8791
2021-08-30,8641
2021-09-06,7770
2021-09-13,7187
2021-09-20,6549
2021-09-27,5868
2021-10-04,4792
2021-10-11,4120
2021-10-18,3775
2021-10-25,3379
2021-11-01,3219
2021-11-08,2776
2021-11-15,2773
2021-11-22,2279
2021-11-29,2300
2021-12-06,2127
2021-12-13,2010
2021-12-20,3069
2021-12-27,6487
2022-01-03,12503
2022-01-10,21801
2022-01-17,26143
2022-01-24,21220
2022-01-31,16843
2022-02-07,10008
2022-02-14,6410
2022-02-21,3527
2022-02-28,2597
2022-03-07,1595
2022-03-14,1250
2022-03-21,929
2022-03-28,883
2022-04-04,904
