semana,sigla,casos
2020-02-10,AC,1
2020-02-10,AL,2
2020-02-10,AM,1
2020-02-10,CE,4
2020-02-10,MA,1
2020-02-10,MG,1
2020-02-10,MT,1
2020-02-10,SC,2
2020-02-17,AL,2
2020-02-17,BA,4
2020-02-17,CE,7
2020-02-17,MA,1
2020-02-17,MG,6
2020-02-17,MT,5
2020-02-17,PA,1
2020-02-17,PB,2
2020-02-17,PE,1
2020-02-17,RJ,7
2020-02-17,RN,2
2020-02-17,RO,2
2020-02-17,SC,3
2020-02-17,SP,6
2020-02-17,TO,1
2020-02-24,AL,1
2020-02-24,BA,8
2020-02-24,CE,6
2020-02-24,DF,2
2020-02-24,ES,2
2020-02-24,MA,7
2020-02-24,MG,12
2020-02-24,MS,1
2020-02-24,MT,3
2020-02-24,PA,5
2020-02-24,PB,3
2020-02-24,PE,12
2020-02-24,PR,2
2020-02-24,RJ,7
2020-02-24,RN,2
2020-02-24,RO,2
2020-02-24,SC,2
2020-02-24,SE,1
2020-02-24,SP,27
2020-02-24,TO,4
2020-03-02,AL,4
2020-03-02,AP,1
2020-03-02,BA,6
2020-03-02,CE,13
2020-03-02,DF,5
2020-03-02,ES,2
2020-03-02,GO,3
2020-03-02,MA,9
2020-03-02,MG,6
2020-03-02,MS,2
2020-03-02,MT,8
2020-03-02,PA,8
2020-03-02,PB,4
2020-03-02,PE,14
2020-03-02,PI,2
2020-03-02,PR,9
2020-03-02,RJ,29
2020-03-02,RN,1
2020-03-02,RO,1
2020-03-02,RS,2
2020-03-02,SC,5
2020-03-02,SE,2
2020-03-02,SP,155
2020-03-09,AC,3
2020-03-09,AL,4
2020-03-09,AM,15
2020-03-09,BA,16
2020-03-09,CE,43
2020-03-09,DF,9
2020-03-09,ES,7
2020-03-09,GO,13
2020-03-09,MA,12
2020-03-09,MG,35
2020-03-09,MS,7
2020-03-09,MT,15
2020-03-09,PA,16
2020-03-09,PB,3
2020-03-09,PE,58
2020-03-09,PI,6
2020-03-09,PR,18
2020-03-09,RJ,149
2020-03-09,RN,6
2020-03-09,RO,2
2020-03-09,RS,34
2020-03-09,SC,35
2020-03-09,SE,6
2020-03-09,SP,911
2020-03-09,TO,4
2020-03-16,AC,3
2020-03-16,AL,10
2020-03-16,AM,82
2020-03-16,AP,1
2020-03-16,BA,39
2020-03-16,CE,193
2020-03-16,DF,35
2020-03-16,ES,24
2020-03-16,GO,23
2020-03-16,MA,38
2020-03-16,MG,95
2020-03-16,MS,17
2020-03-16,MT,31
2020-03-16,PA,28
2020-03-16,PB,12
2020-03-16,PE,134
2020-03-16,PI,10
2020-03-16,PR,95
2020-03-16,RJ,449
2020-03-16,RN,31
2020-03-16,RO,1
2020-03-16,RR,2
2020-03-16,RS,85
2020-03-16,SC,78
2020-03-16,SE,4
2020-03-16,SP,2346
2020-03-16,TO,1
2020-03-23,AC,6
2020-03-23,AL,7
2020-03-23,AM,255
2020-03-23,AP,5
2020-03-23,BA,36
2020-03-23,CE,272
2020-03-23,DF,31
2020-03-23,ES,34
2020-03-23,GO,31
2020-03-23,MA,83
2020-03-23,MG,121
2020-03-23,MS,14
2020-03-23,MT,59
2020-03-23,PA,69
2020-03-23,PB,17
2020-03-23,PE,230
2020-03-23,PI,11
2020-03-23,PR,106
2020-03-23,RJ,823
2020-03-23,RN,28
2020-03-23,RO,6
2020-03-23,RR,2
2020-03-23,RS,103
2020-03-23,SC,84
2020-03-23,SE,11
2020-03-23,SP,3180
2020-03-23,TO,2
2020-03-30,AC,11
2020-03-30,AL,20
2020-03-30,AM,536
2020-03-30,AP,9
2020-03-30,BA,68
2020-03-30,CE,421
2020-03-30,DF,35
2020-03-30,ES,77
2020-03-30,GO,42
2020-03-30,MA,213
2020-03-30,MG,109
2020-03-30,MS,19
2020-03-30,MT,57
2020-03-30,PA,252
2020-03-30,PB,45
2020-03-30,PE,661
2020-03-30,PI,17
2020-03-30,PR,84
2020-03-30,RJ,1564
2020-03-30,RN,36
2020-03-30,RO,13
2020-03-30,RR,6
2020-03-30,RS,72
2020-03-30,SC,62
2020-03-30,SE,12
2020-03-30,SP,3038
2020-03-30,TO,1
2020-04-06,AC,25
2020-04-06,AL,57
2020-04-06,AM,898
2020-04-06,AP,8
2020-04-06,BA,110
2020-04-06,CE,646
2020-04-06,DF,40
2020-04-06,ES,86
2020-04-06,GO,45
2020-04-06,MA,419
2020-04-06,MG,129
2020-04-06,MS,12
2020-04-06,MT,51
2020-04-06,PA,665
2020-04-06,PB,66
2020-04-06,PE,1339
2020-04-06,PI,30
2020-04-06,PR,64
2020-04-06,RJ,2362
2020-04-06,RN,43
2020-04-06,RO,21
2020-04-06,RR,3
2020-04-06,RS,108
2020-04-06,SC,42
2020-04-06,SE,15
2020-04-06,SP,3373
2020-04-06,TO,4
2020-04-13,AC,24
2020-04-13,AL,139
2020-04-13,AM,988
2020-04-13,AP,32
2020-04-13,BA,263
2020-04-13,CE,1125
2020-04-13,DF,53
2020-04-13,ES,112
2020-04-13,GO,42
2020-04-13,MA,519
2020-04-13,MG,109
2020-04-13,MS,13
2020-04-13,MT,42
2020-04-13,PA,1200
2020-04-13,PB,108
2020-04-13,PE,1766
2020-04-13,PI,74
2020-04-13,PR,80
2020-04-13,RJ,3297
2020-04-13,RN,63
2020-04-13,RO,50
2020-04-13,RR,7
2020-04-13,RS,164
2020-04-13,SC,59
2020-04-13,SE,22
2020-04-13,SP,4586
2020-04-13,TO,6
2020-04-20,AC,45
2020-04-20,AL,242
2020-04-20,AM,1108
2020-04-20,AP,64
2020-04-20,BA,272
2020-04-20,CE,1721
2020-04-20,DF,69
2020-04-20,ES,164
2020-04-20,GO,64
2020-04-20,MA,634
2020-04-20,MG,162
2020-04-20,MS,10
2020-04-20,MT,88
2020-04-20,PA,1659
2020-04-20,PB,238
2020-04-20,PE,2193
2020-04-20,PI,115
2020-04-20,PR,89
2020-04-20,RJ,4203
2020-04-20,RN,101
2020-04-20,RO,74
2020-04-20,RR,21
2020-04-20,RS,259
2020-04-20,SC,83
2020-04-20,SE,47
2020-04-20,SP,5404
2020-04-20,TO,32
2020-04-27,AC,59
2020-04-27,AL,384
2020-04-27,AM,1187
2020-04-27,AP,100
2020-04-27,BA,440
2020-04-27,CE,2525
2020-04-27,DF,137
2020-04-27,ES,242
2020-04-27,GO,110
2020-04-27,MA,795
2020-04-27,MG,277
2020-04-27,MS,18
2020-04-27,MT,175
2020-04-27,PA,1825
2020-04-27,PB,367
2020-04-27,PE,2268
2020-04-27,PI,147
2020-04-27,PR,129
2020-04-27,RJ,4517
2020-04-27,RN,176
2020-04-27,RO,97
2020-04-27,RR,32
2020-04-27,RS,211
2020-04-27,SC,86
2020-04-27,SE,105
2020-04-27,SP,5996
2020-04-27,TO,56
2020-05-04,AC,96
2020-05-04,AL,516
2020-05-04,AM,1028
2020-05-04,AP,112
2020-05-04,BA,580
2020-05-04,CE,2577
2020-05-04,DF,207
2020-05-04,ES,310
2020-05-04,GO,132
2020-05-04,MA,796
2020-05-04,MG,338
2020-05-04,MS,23
2020-05-04,MT,359
2020-05-04,PA,1850
2020-05-04,PB,501
2020-05-04,PE,2277
2020-05-04,PI,206
2020-05-04,PR,160
2020-05-04,RJ,4071
2020-05-04,RN,224
2020-05-04,RO,112
2020-05-04,RR,47
2020-05-04,RS,268
2020-05-04,SC,101
2020-05-04,SE,129
2020-05-04,SP,6601
2020-05-04,TO,76
2020-05-11,AC,125
2020-05-11,AL,523
2020-05-11,AM,697
2020-05-11,AP,97
2020-05-11,BA,760
2020-05-11,CE,1977
2020-05-11,DF,267
2020-05-11,ES,363
2020-05-11,GO,174
2020-05-11,MA,569
2020-05-11,MG,384
2020-05-11,MS,53
2020-05-11,MT,623
2020-05-11,PA,1319
2020-05-11,PB,518
2020-05-11,PE,2062
2020-05-11,PI,269
2020-05-11,PR,225
2020-05-11,RJ,3365
2020-05-11,RN,295
2020-05-11,RO,129
2020-05-11,RR,61
2020-05-11,RS,260
2020-05-11,SC,133
2020-05-11,SE,129
2020-05-11,SP,6887
2020-05-11,TO,90
2020-05-18,AC,85
2020-05-18,AL,528
2020-05-18,AM,560
2020-05-18,AP,110
2020-05-18,BA,901
2020-05-18,CE,1484
2020-05-18,DF,334
2020-05-18,ES,407
2020-05-18,GO,191
2020-05-18,MA,540
2020-05-18,MG,530
2020-05-18,MS,68
2020-05-18,MT,983
2020-05-18,PA,1079
2020-05-18,PB,601
2020-05-18,PE,1645
2020-05-18,PI,312
2020-05-18,PR,282
2020-05-18,RJ,2616
2020-05-18,RN,374
2020-05-18,RO,158
2020-05-18,RR,113
2020-05-18,RS,269
2020-05-18,SC,175
2020-05-18,SE,195
2020-05-18,SP,6498
2020-05-18,TO,71
2020-05-25,AC,77
2020-05-25,AL,472
2020-05-25,AM,435
2020-05-25,AP,101
2020-05-25,BA,931
2020-05-25,CE,1134
2020-05-25,DF,419
2020-05-25,ES,383
2020-05-25,GO,267
2020-05-25,MA,371
2020-05-25,MG,678
2020-05-25,MS,63
2020-05-25,MT,1150
2020-05-25,PA,752
2020-05-25,PB,512
2020-05-25,PE,1338
2020-05-25,PI,340
2020-05-25,PR,452
2020-05-25,RJ,1950
2020-05-25,RN,399
2020-05-25,RO,196
2020-05-25,RR,107
2020-05-25,RS,279
2020-05-25,SC,156
2020-05-25,SE,200
2020-05-25,SP,6320
2020-05-25,TO,108
