semana,comorbidade,casos
2020-02-10,ASMA,1
2020-02-17,ASMA,2
2020-02-24,ASMA,2
2020-03-02,ASMA,9
2020-03-09,ASMA,53
2020-03-16,ASMA,135
2020-03-23,ASMA,197
2020-03-30,ASMA,246
2020-04-06,ASMA,302
2020-04-13,ASMA,425
2020-04-20,ASMA,443
2020-04-27,ASMA,494
2020-05-04,ASMA,507
2020-05-11,ASMA,473
2020-05-18,ASMA,462
2020-05-25,ASMA,463
2020-06-01,ASMA,494
2020-06-08,ASMA,511
2020-06-15,ASMA,582
2020-06-22,ASMA,534
2020-06-29,ASMA,642
2020-07-06,ASMA,645
2020-07-13,ASMA,559
2020-07-20,ASMA,587
2020-07-27,ASMA,565
2020-08-03,ASMA,479
2020-08-10,ASMA,495
2020-08-17,ASMA,478
2020-08-24,ASMA,405
2020-08-31,ASMA,423
2020-09-07,ASMA,379
2020-09-14,ASMA,338
2020-09-21,ASMA,326
2020-09-28,ASMA,281
2020-10-05,ASMA,306
2020-10-12,ASMA,303
2020-10-19,ASMA,289
2020-10-26,ASMA,323
2020-11-02,ASMA,384
2020-11-09,ASMA,520
2020-11-16,ASMA,515
2020-11-23,ASMA,503
2020-11-30,ASMA,594
2020-12-07,ASMA,541
2020-12-14,ASMA,539
2020-12-21,ASMA,610
2020-12-28,ASMA,638
2021-01-04,ASMA,687
2021-01-11,ASMA,545
2021-01-18,ASMA,574
2021-01-25,ASMA,531
2021-02-01,ASMA,636
2021-02-08,ASMA,779
2021-02-15,ASMA,980
2021-02-22,ASMA,1079
2021-03-01,ASMA,1459
2021-03-08,ASMA,1407
2021-03-15,ASMA,1316
2021-03-22,ASMA,1025
2021-03-29,ASMA,963
2021-04-05,ASMA,894
2021-04-12,ASMA,776
2021-04-19,ASMA,796
2021-04-26,ASMA,881
2021-05-03,ASMA,889
2021-05-10,ASMA,1016
2021-05-17,ASMA,990
2021-05-24,ASMA,1057
2021-05-31,ASMA,923
2021-06-07,ASMA,758
2021-06-14,ASMA,680
2021-06-21,ASMA,490
2021-06-28,ASMA,519
2021-07-05,ASMA,438
2021-07-12,ASMA,395
2021-07-19,ASMA,352
2021-07-26,ASMA,326
2021-08-02,ASMA,344
2021-08-09,ASMA,270
2021-08-16,ASMA,285
2021-08-23,ASMA,215
2021-08-30,ASMA,213
2021-09-06,ASMA,181
2021-09-13,ASMA,159
2021-09-20,ASMA,143
2021-09-27,ASMA,130
2021-10-04,ASMA,122
2021-10-11,ASMA,110
2021-10-18,ASMA,89
2021-10-25,ASMA,78
2021-11-01,ASMA,92
2021-11-08,ASMA,82
2021-11-15,ASMA,73
2021-11-22,ASMA,68
2021-11-29,ASMA,58
2021-12-06,ASMA,68
2021-12-13,ASMA,67
2021-12-20,ASMA,110
2021-12-27,ASMA,190
2022-01-03,ASMA,311
2022-01-10,ASMA,508
2022-01-17,ASMA,570
2022-01-24,ASMA,447
2022-01-31,ASMA,416
2022-02-07,ASMA,226
2022-02-14,ASMA,181
2022-02-21,ASMA,106
2022-02-28,ASMA,73
2022-03-07,ASMA,49
2022-03-14,ASMA,39
2022-03-21,ASMA,40
2022-03-28,ASMA,41
2022-04-04,ASMA,29
2022-04-11,ASMA,33
2022-04-18,ASMA,37
2022-04-25,ASMA,44
2022-05-02,ASMA,65
2022-05-09,ASMA,74
2022-05-16,ASMA,98
2022-05-23,ASMA,138
2022-05-30,ASMA,172
2022-06-06,ASMA,155
2022-06-13,ASMA,209
2022-06-20,ASMA,200
2022-06-27,ASMA,220
2022-07-04,ASMA,184
2022-07-11,ASMA,123
2022-07-18,ASMA,98
2022-07-25,ASMA,78
2022-08-01,ASMA,63
2022-08-08,ASMA,63
2022-08-15,ASMA,54
2022-08-22,ASMA,39
2022-08-29,ASMA,43
2022-09-05,ASMA,24
2022-09-12,ASMA,12
2022-09-19,ASMA,28
2022-09-26,ASMA,14
2022-10-03,ASMA,19
2022-10-10,ASMA,15
2022-10-17,ASMA,23
2022-10-24,ASMA,33
2022-10-31,ASMA,43
2022-11-07,ASMA,95
2022-11-14,ASMA,152
2022-11-21,ASMA,116
2022-11-28,ASMA,146
2022-12-05,ASMA,127
2022-12-12,ASMA,116
2022-12-19,ASMA,110
2022-12-26,ASMA,99
2023-01-02,ASMA,52
2023-01-09,ASMA,43
2023-01-16,ASMA,31
2023-01-23,ASMA,33
2023-01-30,ASMA,24
2023-02-06,ASMA,36
2023-02-13,ASMA,43
2023-02-20,ASMA,43
2023-02-27,ASMA,50
2023-03-06,ASMA,53
2023-03-13,ASMA,38
2023-03-20,ASMA,54
2023-03-27,ASMA,45
2023-04-03,ASMA,38
2023-04-10,ASMA,31
2023-04-17,ASMA,28
2023-04-24,ASMA,32
2023-05-01,ASMA,40
2023-05-08,ASMA,31
2023-05-15,ASMA,33
2023-05-22,ASMA,28
2023-05-29,ASMA,24
2023-06-05,ASMA,15
2023-06-12,ASMA,24
2023-06-19,ASMA,30
2023-06-26,ASMA,25
2023-07-03,ASMA,10
2023-07-10,ASMA,14
2023-07-17,ASMA,14
2023-07-24,ASMA,10
2023-07-31,ASMA,16
2023-08-07,ASMA,14
2023-08-14,ASMA,28
2023-08-21,ASMA,39
2023-08-28,ASMA,36
2023-09-04,ASMA,33
2023-09-11,ASMA,53
2023-09-18,ASMA,41
2023-09-25,ASMA,48
2023-10-02,ASMA,41
2023-10-09,ASMA,45
2023-10-16,ASMA,57
2023-10-23,ASMA,41
2023-10-30,ASMA,55
2023-11-06,ASMA,36
2023-11-13,ASMA,45
2023-11-20,ASMA,20
2023-11-27,ASMA,19
2023-12-04,ASMA,29
2023-12-11,ASMA,24
2023-12-18,ASMA,16
2023-12-25,ASMA,22
2024-01-01,ASMA,31
2024-01-08,ASMA,27
2024-01-15,ASMA,27
2024-01-22,ASMA,33
2024-01-29,ASMA,38
2024-02-05,ASMA,41
2024-02-12,ASMA,44
2024-02-19,ASMA,51
2024-02-26,ASMA,69
2024-03-04,ASMA,31
2024-03-11,ASMA,34
2024-03-18,ASMA,22
2024-03-25,ASMA,18
2024-04-01,ASMA,14
2024-04-08,ASMA,12
2024-04-15,ASMA,11
2024-04-22,ASMA,6
2024-04-29,ASMA,8
2024-05-06,ASMA,7
2024-05-13,ASMA,10
2024-05-20,ASMA,7
2024-05-27,ASMA,8
2024-06-03,ASMA,4
2024-06-10,ASMA,9
2024-06-17,ASMA,10
2024-06-24,ASMA,11
2024-07-01,ASMA,15
2024-07-08,ASMA,7
2024-07-15,ASMA,7
2024-07-22,ASMA,12
2024-07-29,ASMA,15
2024-08-05,ASMA,14
2024-08-12,ASMA,28
2024-08-19,ASMA,39
2024-08-26,ASMA,34
2024-09-02,ASMA,48
2024-09-09,ASMA,25
2024-09-16,ASMA,31
2024-09-23,ASMA,27
2024-09-30,ASMA,18
2024-10-07,ASMA,13
2024-10-14,ASMA,16
2024-10-21,ASMA,21
2024-10-28,ASMA,13
2024-11-04,ASMA,12
2024-11-11,ASMA,28
2024-11-18,ASMA,27
2024-11-25,ASMA,28
2024-12-02,ASMA,20
2024-12-09,ASMA,27
2024-12-16,ASMA,21
2024-12-23,ASMA,26
2024-12-30,ASMA,28
2025-01-06,ASMA,27
2025-01-13,ASMA,29
2025-01-20,ASMA,19
2025-01-27,ASMA,26
2025-02-03,ASMA,25
2025-02-10,ASMA,26
2025-02-17,ASMA,28
2025-02-24,ASMA,17
2025-03-03,ASMA,13
2025-03-10,ASMA,11
2025-03-17,ASMA,12
2025-03-24,ASMA,12
2025-03-31,ASMA,5
2025-04-07,ASMA,4
2025-04-14,ASMA,2
2025-04-21,ASMA,9
2025-04-28,ASMA,10
2025-05-05,ASMA,6
2025-05-12,ASMA,8
2025-05-19,ASMA,8
2025-05-26,ASMA,7
2025-06-02,ASMA,7
2025-06-09,ASMA,6
2025-06-16,ASMA,9
2025-06-23,ASMA,3
2025-06-30,ASMA,9
2025-07-07,ASMA,10
2025-07-14,ASMA,5
2025-07-21,ASMA,6
2025-07-28,ASMA,11
2025-08-04,ASMA,16
2025-08-11,ASMA,20
2025-08-18,ASMA,23
2025-08-25,ASMA,22
2025-09-01,ASMA,20
2025-09-08,ASMA,22
2025-09-15,ASMA,31
2025-09-22,ASMA,17
2025-09-29,ASMA,16
2025-10-06,ASMA,10
2025-10-13,ASMA,19
2025-10-20,ASMA,17
2025-10-27,ASMA,9
2025-11-03,ASMA,10
2025-11-10,ASMA,17
2025-11-17,ASMA,14
2025-11-24,ASMA,7
2025-12-01,ASMA,13
2025-12-08,ASMA,9
2025-12-15,ASMA,3
2025-12-22,ASMA,10
2025-12-29,ASMA,7
2026-01-05,ASMA,3
2026-01-12,ASMA,6
2026-01-19,ASMA,15
2026-01-26,ASMA,5
2026-02-02,ASMA,6
2026-02-09,ASMA,10
2026-02-16,ASMA,8
2026-02-23,ASMA,15
2026-03-02,ASMA,16
2026-03-09,ASMA,11
2026-03-16,ASMA,7
2026-03-23,ASMA,6
2026-03-30,ASMA,3
2026-04-06,ASMA,6
2026-04-13,ASMA,6
2026-04-20,ASMA,7
2026-04-27,ASMA,4
2026-05-04,ASMA,2
2026-05-11,ASMA,3
2026-05-18,ASMA,3
2026-05-25,ASMA,5
2026-06-01,ASMA,6
2026-06-08,ASMA,5
2026-06-15,ASMA,4
2026-06-22,ASMA,3
2026-06-29,ASMA,5
2026-07-06,ASMA,5
2026-07-13,ASMA,2
2026-08-03,ASMA,2
2026-08-10,ASMA,1
2020-02-10,CARDIOPATI,4
2020-02-17,CARDIOPATI,14
2020-02-24,CARDIOPATI,26
2020-03-02,CARDIOPATI,93
2020-03-09,CARDIOPATI,446
2020-03-16,CARDIOPATI,1182
2020-03-23,CARDIOPATI,1707
2020-03-30,CARDIOPATI,2332
2020-04-06,CARDIOPATI,3138
2020-04-13,CARDIOPATI,4466
2020-04-20,CARDIOPATI,5752
2020-04-27,CARDIOPATI,6896
2020-05-04,CARDIOPATI,7189
2020-05-11,CARDIOPATI,7034
2020-05-18,CARDIOPATI,6679
2020-05-25,CARDIOPATI,6246
