comorbidade,casos_com,obitos_com,desfecho_conhecido_com,casos_sem,obitos_sem,desfecho_conhecido_sem,taxa_letalidade_com,taxa_letalidade_sem
RENAL,78513,39613,74298,767370,269863,730857,0.5331637459958545,0.36924186263523506
HEPATICA,17594,8456,16450,806682,289505,768433,0.5140425531914894,0.3767472245465773
NEUROLOGIC,86628,40484,82115,764001,269538,727472,0.4930158923461,0.3705132293751512
PNEUMOPATI,77740,36240,73823,770287,272588,733438,0.49090391883288403,0.37165786337768153
IMUNODEPRE,55280,23616,51583,781221,279089,744524,0.45782525250567047,0.37485561244499843
DIABETES,502608,200935,474866,520500,176980,495109,0.4231404227718978,0.35745664086090134
HEMATOLOGI,16015,6286,14939,810815,291931,772265,0.42077782984135487,0.37801920325276944
CARDIOPATI,713441,279490,673960,390618,128669,371043,0.4146982016736898,0.34677651916354707
OBESIDADE,173797,64542,165547,695451,249582,661590,0.3898711544153624,0.3772457262050515
SIND_DOWN,6434,2295,6049,819268,295541,780155,0.3794015539758638,0.3788234389320071
ASMA,56503,14544,53570,781981,285435,744530,0.2714952398730633,0.3833760896135817
