ano,ano_completo,comorbidade,casos_com,obitos_com,desfecho_conhecido_com,taxa_letalidade_com,casos_sem,obitos_sem,desfecho_conhecido_sem,taxa_letalidade_sem
2020,True,RENAL,28296,15463,27093,0.5707378289595099,255517,91812,245532,0.37393089291823467
2020,True,NEUROLOGIC,27434,14846,26355,0.5633086700815785,256905,92410,246810,0.3744175681698472
2020,True,PNEUMOPATI,26998,13887,25938,0.5353920888272033,257157,92988,247060,0.3763782077228204
2020,True,HEPATICA,6248,3160,5911,0.5345965149720859,270013,99684,259553,0.3840602882648245
2020,True,IMUNODEPRE,17981,8264,17182,0.4809684553602607,261483,95898,251321,0.38157575371735747
2020,True,HEMATOLOGI,5335,2322,5096,0.4556514913657771,271548,100566,260990,0.3853251082416951
2020,True,DIABETES,180265,73992,171827,0.43061916928073,165665,58073,159018,0.36519765058043746
2020,True,CARDIOPATI,244401,98388,232732,0.42275235034288366,126838,43184,121654,0.3549739424926431
2020,True,SIND_DOWN,1753,668,1668,0.40047961630695444,274722,102043,264028,0.3864855242625782
2020,True,OBESIDADE,43534,15128,41809,0.3618359683321773,239936,89571,230309,0.3889166293978959
2020,True,ASMA,18922,4938,18043,0.27367954331319627,261933,98486,251695,0.3912910467033513
2021,True,RENAL,31649,17463,30143,0.5793384865474571,384382,143010,366427,0.3902823754799728
2021,True,NEUROLOGIC,31848,16591,30265,0.5481909796794978,384860,143536,366881,0.39123312463714394
2021,True,PNEUMOPATI,29331,14953,27911,0.5357385976855004,387361,144968,369265,0.39258527074052507
2021,True,HEPATICA,7487,3796,7091,0.5353264701734594,399626,151418,381097,0.39732141685712563
2021,True,IMUNODEPRE,20762,9881,19615,0.5037471322967118,390890,147443,372775,0.3955281335926497
2021,True,HEMATOLOGI,6118,2697,5746,0.46936999651931777,402236,152734,383566,0.3981948347872335
2021,True,DIABETES,248369,104970,234555,0.447528298266931,260331,92834,248093,0.3741903237898691
2021,True,CARDIOPATI,354238,146432,334651,0.43756630041446165,195029,67603,185579,0.3642815189218608
2021,True,SIND_DOWN,3152,1265,2967,0.4263565891472868,405055,154064,386216,0.39890631149408623
2021,True,OBESIDADE,115949,45338,110386,0.41072237421412133,328226,124092,312705,0.3968340768455893
2021,True,ASMA,27343,7856,25938,0.30287608913563113,387463,148822,369408,0.40286620755370756
2022,True,HEPATICA,2700,1123,2458,0.4568755085435313,93798,28596,88163,0.3243537538423148
2022,True,RENAL,13191,5195,12241,0.42439343190915774,87207,26043,81991,0.31763242307082484
2022,True,PNEUMOPATI,14259,5354,13389,0.39988049891702143,86642,26014,81367,0.3197119225238733
2022,True,IMUNODEPRE,11090,4011,10061,0.39866812444091043,88361,26667,83185,0.32057462282863497
2022,True,NEUROLOGIC,18779,6860,17652,0.38862451846816226,83897,25030,78745,0.3178614515207315
2022,True,CARDIOPATI,82173,26815,76797,0.3491672851804107,46169,13154,43188,0.3045753450032416
2022,True,DIABETES,53028,17125,49475,0.3461344113188479,64135,19254,60203,0.319817949271631
2022,True,HEMATOLOGI,2864,907,2648,0.3425226586102719,94038,28807,88338,0.3260997532205846
2022,True,OBESIDADE,10600,3218,9999,0.32183218321832185,86961,26739,81658,0.32745107644076515
2022,True,SIND_DOWN,942,250,871,0.2870264064293915,95585,29369,89767,0.32716922699878576
2022,True,ASMA,6425,1265,6049,0.20912547528517111,91271,28454,85725,0.3319218431029455
2023,True,HEPATICA,585,212,506,0.4189723320158103,20241,4769,18603,0.2563565016395205
2023,True,IMUNODEPRE,2751,781,2404,0.32487520798668884,18925,4400,17459,0.2520190159802967
2023,True,PNEUMOPATI,3404,1015,3139,0.3233513857916534,18399,4234,16876,0.25088883621711305
2023,True,RENAL,2663,767,2390,0.3209205020920502,18882,4404,17366,0.2535989865253945
2023,True,NEUROLOGIC,4311,1151,3921,0.29354756439683755,17971,4183,16494,0.2536073723778344
2023,True,HEMATOLOGI,810,188,671,0.28017883755588674,20171,4785,18537,0.2581323838808869
2023,True,CARDIOPATI,16458,4044,15023,0.2691872462224589,10411,2313,9534,0.24260541220893644
2023,True,OBESIDADE,1882,451,1700,0.26529411764705885,18809,4448,17275,0.2574819102749638
2023,True,DIABETES,10627,2547,9637,0.264293867386116,14050,3302,12896,0.2560483870967742
2023,True,SIND_DOWN,251,54,230,0.23478260869565218,20582,4902,18889,0.2595161204934089
2023,True,ASMA,1744,199,1598,0.12453066332916145,19400,4754,17777,0.26742419980874166
2024,True,HEPATICA,354,108,302,0.3576158940397351,13205,3035,12117,0.25047453990261614
2024,True,PNEUMOPATI,2234,634,2066,0.3068731848983543,11912,2657,10895,0.24387333639284076
2024,True,RENAL,1613,448,1464,0.30601092896174864,12286,2777,11271,0.24638452666134328
2024,True,IMUNODEPRE,1566,413,1363,0.30300807043286865,12386,2827,11409,0.2477868349548602
2024,True,NEUROLOGIC,2626,660,2417,0.273065784029789,11631,2632,10645,0.24725223109441052
2024,True,CARDIOPATI,9905,2352,9081,0.2590023125206475,6855,1465,6278,0.2333545715195922
2024,True,OBESIDADE,1089,251,982,0.2556008146639511,12386,2854,11356,0.25132088763649174
2024,True,DIABETES,6298,1443,5733,0.25170068027210885,9283,2098,8530,0.2459554513481829
2024,True,HEMATOLOGI,501,96,444,0.21621621621621623,13101,3039,12014,0.25295488596637256
2024,True,SIND_DOWN,197,37,182,0.2032967032967033,13390,3115,12261,0.2540575809477204
2024,True,ASMA,1155,171,1089,0.15702479338842976,12640,2965,11548,0.25675441634915136
2025,True,HEPATICA,176,50,147,0.3401360544217687,7758,1602,7099,0.22566558670235246
2025,True,PNEUMOPATI,1200,326,1109,0.2939585211902615,6976,1377,6356,0.21664568911264948
2025,True,RENAL,875,219,776,0.2822164948453608,7189,1455,6588,0.22085610200364297
2025,True,IMUNODEPRE,884,202,752,0.26861702127659576,7284,1499,6697,0.22383156637300283
2025,True,CARDIOPATI,4984,1180,4556,0.2589991220368745,4208,763,3839,0.19874967439437352
2025,True,NEUROLOGIC,1323,318,1232,0.25811688311688313,6901,1386,6282,0.22063037249283668
2025,True,OBESIDADE,589,128,541,0.2365988909426987,7217,1497,6594,0.227024567788899
2025,True,DIABETES,3226,693,2938,0.23587474472430225,5554,1136,5074,0.2238864800945999
2025,True,HEMATOLOGI,311,59,266,0.22180451127819548,7689,1607,7037,0.22836435981242006
2025,True,SIND_DOWN,106,18,101,0.1782178217821782,7872,1642,7182,0.22862712336396546
2025,True,ASMA,734,90,695,0.12949640287769784,7326,1565,6669,0.23466786624681363
2026,False,IMUNODEPRE,246,64,206,0.3106796116504854,1892,355,1678,0.21156138259833135
2026,False,RENAL,226,58,191,0.3036649214659686,1907,362,1682,0.21521997621878716
2026,False,PNEUMOPATI,314,71,271,0.26199261992619927,1840,350,1619,0.21618282890673254
2026,False,HEMATOLOGI,76,17,68,0.25,2032,393,1783,0.22041503084688727
2026,False,CARDIOPATI,1282,279,1120,0.24910714285714286,1108,187,971,0.19258496395468588
2026,False,DIABETES,795,165,701,0.23537803138373753,1482,283,1295,0.21853281853281853
2026,False,OBESIDADE,154,28,130,0.2153846153846154,1916,381,1693,0.22504430005906675
2026,False,NEUROLOGIC,307,58,273,0.21245421245421245,1836,361,1615,0.2235294117647059
2026,False,HEPATICA,44,7,35,0.2,2041,401,1801,0.2226540810660744
2026,False,ASMA,180,25,158,0.15822784810126583,1948,389,1708,0.22775175644028103
2026,False,SIND_DOWN,33,3,30,0.1,2062,406,1812,0.2240618101545254
