sigla,casos,obitos,desfecho_conhecido,taxa_letalidade
ES,17977,8281,15557,0.5323005720897345
SE,21962,6543,13849,0.4724528846848148
RJ,212505,78940,184357,0.42819095559159676
RO,18755,6846,16158,0.42369105087263276
MA,26326,9976,23879,0.41777293856526654
PE,61930,23059,56058,0.41134182453887047
RR,5062,1849,4532,0.40798764342453664
TO,13126,4263,10502,0.4059226813940202
RN,22447,8108,20139,0.4026019166790804
CE,82653,29030,73812,0.39329648295670083
PA,57076,19790,53291,0.371357264828958
PB,33508,10957,30236,0.36238259028972086
BA,83872,26922,76680,0.3510954616588419
AM,45453,14939,42835,0.34875685770981674
AC,5845,1924,5729,0.3358352242974341
PI,25084,7174,21669,0.3310720383958651
AL,23879,7293,22112,0.32982091172214184
GO,88792,28720,88218,0.32555714253326984
RS,139442,43419,133979,0.3240731756469297
MG,232047,68133,227207,0.29987192296012005
MS,39076,11381,38824,0.29314341644343705
SP,665970,187561,646158,0.2902711101619109
PR,161512,43035,148373,0.2900460326339698
AP,6583,1846,6501,0.2839563144131672
SC,92170,23453,86924,0.2698104090930008
MT,57329,11543,49495,0.23321547631073847
DF,50565,11338,49190,0.23049400284610694
